run,metric,mean,std,ci_lower,ci_upper,n_folds
E2-grid-conv1d-w240-tb2-cusum3-nometa,test_true_side_class_1_pct,0.4804985316868652,0.020877043527748596,0.45457625834952686,0.5064208050242035,5.0
E2-grid-conv1d-w240-tb2-cusum3-nometa,test_pred_side_class_0_pct,0.2963629773923488,0.1306573520547647,0.13413044724531287,0.4585955075393847,5.0
E2-grid-conv1d-w240-tb2-cusum3-nometa,test_pred_side_class_1_pct,0.7036370226076512,0.13065735205476472,0.5414044924606152,0.8658695527546871,5.0
E2-grid-conv1d-w240-tb4-cusum1-nometa,val_f1_macro,0.49519342208633627,0.060064874625638795,0.4206130297070578,0.5697738144656147,5.0
E2-grid-conv1d-w240-tb4-cusum1-nometa,val_accuracy,0.5276145996364247,0.04004581313606216,0.4778911551865809,0.5773380440862684,5.0
E2-grid-conv1d-w240-tb4-cusum1-nometa,test_f1_macro,0.4807892466861114,0.08097202910263367,0.3802491932878637,0.581329300084359,5.0
E2-grid-conv1d-w240-tb4-cusum1-nometa,test_accuracy,0.5037515425031962,0.0696649430878758,0.41725109073406663,0.5902519942723258,5.0
E2-grid-conv1d-w240-tb4-cusum1-nometa,test_true_side_class_0_pct,0.46123430564575363,0.060867050038381505,0.38565788093622827,0.5368107303552789,5.0
E2-grid-conv1d-w240-tb4-cusum1-nometa,test_true_side_class_1_pct,0.5387656943542464,0.0608670500383815,0.463189269644721,0.6143421190637717,5.0
E2-grid-conv1d-w240-tb4-cusum1-nometa,test_pred_side_class_0_pct,0.429766890404217,0.2233048782524508,0.15249726245487416,0.7070365183535599,5.0
E2-grid-conv1d-w240-tb4-cusum1-nometa,test_pred_side_class_1_pct,0.570233109595783,0.22330487825245077,0.2929634816464402,0.8475027375451258,5.0
E2-grid-conv1d-w240-tb4-cusum2-nometa,val_f1_macro,0.5124187697831917,0.0821212252004181,0.4104518009634488,0.6143857386029346,5.0
E2-grid-conv1d-w240-tb4-cusum2-nometa,val_accuracy,0.5330791226936163,0.06820679850226026,0.4483891965606214,0.6177690488266113,5.0
E2-grid-conv1d-w240-tb4-cusum2-nometa,test_f1_macro,0.4758692282710483,0.05022048789491856,0.41351225647969997,0.5382262000623966,5.0
E2-grid-conv1d-w240-tb4-cusum2-nometa,test_accuracy,0.5166132988734602,0.07457434912008493,0.4240170143815722,0.6092095833653481,5.0
E2-grid-conv1d-w240-tb4-cusum2-nometa,test_true_side_class_0_pct,0.46551803713280526,0.07261417994436833,0.3753556241367933,0.5556804501288173,5.0
E2-grid-conv1d-w240-tb4-cusum2-nometa,test_true_side_class_1_pct,0.5344819628671948,0.0726141799443683,0.44431954987118294,0.6246443758632068,5.0
E2-grid-conv1d-w240-tb4-cusum2-nometa,test_pred_side_class_0_pct,0.4251401472560044,0.2772576460970255,0.08087930987060743,0.7694009846414014,5.0
E2-grid-conv1d-w240-tb4-cusum2-nometa,test_pred_side_class_1_pct,0.5748598527439956,0.2772576460970256,0.2305990153585986,0.9191206901293927,5.0
E2-grid-conv1d-w240-tb4-cusum3-nometa,val_f1_macro,0.4769117965502148,0.06319638830739067,0.3984431163724225,0.5553804767280072,5.0
